"Date","Price","Open","High","Low","Vol.","Change %"
"06/02/2025","88.93","88.35","89.81","86.99","485.05K","0.62%"
"06/01/2025","88.39","86.97","88.72","85.84","392.26K","1.56%"
"05/31/2025","87.03","85.65","87.91","83.28","739.61K","1.60%"
"05/30/2025","85.66","93.21","93.89","85.02","1.38M","-8.10%"
"05/29/2025","93.21","95.38","98.77","92.93","944.45K","-2.27%"
"05/28/2025","95.37","95.91","97.48","93.55","610.16K","-0.54%"
"05/27/2025","95.90","95.03","97.00","93.14","844.85K","0.91%"
"05/26/2025","95.03","95.62","97.60","94.38","546.16K","-0.61%"
"05/25/2025","95.61","95.64","96.05","93.16","541.38K","0.00%"
"05/24/2025","95.61","95.24","97.81","94.88","505.16K","0.35%"
"05/23/2025","95.27","100.34","102.91","94.66","1.22M","-4.98%"
"05/22/2025","100.26","97.03","100.98","96.98","1.32M","3.25%"
"05/21/2025","97.11","94.33","98.31","93.52","1.16M","2.82%"
"05/20/2025","94.44","98.26","99.67","92.45","1.35M","-3.88%"
"05/19/2025","98.26","100.95","101.13","94.40","905.78K","-2.66%"
"05/18/2025","100.95","96.07","102.40","96.05","858.30K","5.08%"
"05/17/2025","96.06","99.49","101.18","95.68","741.73K","-3.44%"
"05/16/2025","99.49","99.19","102.18","98.34","752.84K","0.25%"
"05/15/2025","99.23","100.87","101.90","95.64","1.21M","-1.71%"
"05/14/2025","100.96","103.36","105.74","98.65","1.34M","-2.41%"
"05/13/2025","103.45","103.85","105.05","99.49","1.52M","-0.37%"
"05/12/2025","103.84","100.23","104.90","98.55","1.78M","3.74%"
"05/11/2025","100.10","104.86","105.91","98.33","1.23M","-4.89%"
"05/10/2025","105.24","100.54","106.67","100.54","1.65M","4.65%"
"05/09/2025","100.56","94.98","101.41","93.87","1.74M","5.88%"
"05/08/2025","94.98","89.47","95.35","89.45","1.68M","6.15%"
"05/07/2025","89.47","91.59","93.32","87.24","1.76M","-2.28%"
"05/06/2025","91.56","83.27","92.40","81.10","1.59M","9.95%"
"05/05/2025","83.28","85.05","89.45","82.22","1.18M","-2.08%"
"05/04/2025","85.05","86.52","86.90","84.83","495.45K","-1.75%"
"05/03/2025","86.56","87.99","87.99","85.66","360.77K","-1.62%"
"05/02/2025","87.99","88.88","90.99","87.28","602.53K","-1.00%"